Filing Date,Fund Name,Fund CIK,Accession Number,Filing URL,Name of Issuer,Title of Class,CUSIP,FIGI,Value Raw ($000s),Value ($000s),Shares/Principal Amount Raw,Shares/Principal Amount,SH/PRN,Put/Call,Investment Discretion,Other Manager,Other Managers (raw),All Columns (raw),Voting Authority - Sole,Voting Authority - Shared,Voting Authority - None
2026-05-18,Situational Awareness LP (Leopold Aschenbrenner),0002045724,0002045724-26-000008,https://www.sec.gov/Archives/edgar/data/2045724/000204572426000008/0002045724-26-000008-index.htm,ADVANCED MICRO DEVICES INC,COM,007903107,,969160863,969160863,4764100,4764100,SH,Put,SOLE,,,"ADVANCED MICRO DEVICES INC | COM | 007903107 |  | 969,160,863 | 4,764,100 | SH | Put | SOLE |  | 0 | 0 | 4,764,100",0,0,4764100
2026-05-18,Situational Awareness LP (Leopold Aschenbrenner),0002045724,0002045724-26-000008,https://www.sec.gov/Archives/edgar/data/2045724/000204572426000008/0002045724-26-000008-index.htm,ADVANCED MICRO DEVICES INC,COM,007903107,,20167643,20167643,99138,99138,SH,,SOLE,,,"ADVANCED MICRO DEVICES INC | COM | 007903107 |  | 20,167,643 | 99,138 | SH |  | SOLE |  | 99,138 | 0 | 0",99138,0,0
2026-05-18,Situational Awareness LP (Leopold Aschenbrenner),0002045724,0002045724-26-000008,https://www.sec.gov/Archives/edgar/data/2045724/000204572426000008/0002045724-26-000008-index.htm,APPLIED DIGITAL CORP,COM NEW,038169207,,319978118,319978118,13478438,13478438,SH,,SOLE,,,"APPLIED DIGITAL CORP | COM NEW | 038169207 |  | 319,978,118 | 13,478,438 | SH |  | SOLE |  | 13,478,438 | 0 | 0",13478438,0,0
2026-05-18,Situational Awareness LP (Leopold Aschenbrenner),0002045724,0002045724-26-000008,https://www.sec.gov/Archives/edgar/data/2045724/000204572426000008/0002045724-26-000008-index.htm,ASML HLDG NV N Y REGISTRY,SHS,N07059210,,494122503,494122503,374100,374100,SH,Put,SOLE,,,"ASML HLDG NV N Y REGISTRY | SHS | N07059210 |  | 494,122,503 | 374,100 | SH | Put | SOLE |  | 0 | 0 | 374,100",0,0,374100
2026-05-18,Situational Awareness LP (Leopold Aschenbrenner),0002045724,0002045724-26-000008,https://www.sec.gov/Archives/edgar/data/2045724/000204572426000008/0002045724-26-000008-index.htm,ASML HLDG NV N Y REGISTRY,SHS,N07059210,,6119405,6119405,4633,4633,SH,,SOLE,,,"ASML HLDG NV N Y REGISTRY | SHS | N07059210 |  | 6,119,405 | 4,633 | SH |  | SOLE |  | 4,633 | 0 | 0",4633,0,0
2026-05-18,Situational Awareness LP (Leopold Aschenbrenner),0002045724,0002045724-26-000008,https://www.sec.gov/Archives/edgar/data/2045724/000204572426000008/0002045724-26-000008-index.htm,BABCOCK & WILCOX ENTERPRISES,COM,05614L209,,19888791,19888791,1353900,1353900,SH,,SOLE,,,"BABCOCK & WILCOX ENTERPRISES | COM | 05614L209 |  | 19,888,791 | 1,353,900 | SH |  | SOLE |  | 1,353,900 | 0 | 0",1353900,0,0
2026-05-18,Situational Awareness LP (Leopold Aschenbrenner),0002045724,0002045724-26-000008,https://www.sec.gov/Archives/edgar/data/2045724/000204572426000008/0002045724-26-000008-index.htm,BITDEER TECHNOLOGIES GROUP,CL A ORD SHS,G11448100,,29751243,29751243,3439450,3439450,SH,,SOLE,,,"BITDEER TECHNOLOGIES GROUP | CL A ORD SHS | G11448100 |  | 29,751,243 | 3,439,450 | SH |  | SOLE |  | 3,439,450 | 0 | 0",3439450,0,0
2026-05-18,Situational Awareness LP (Leopold Aschenbrenner),0002045724,0002045724-26-000008,https://www.sec.gov/Archives/edgar/data/2045724/000204572426000008/0002045724-26-000008-index.htm,BITFARMS LTD,COM,09173B107,,38757888,38757888,19875840,19875840,SH,,SOLE,,,"BITFARMS LTD | COM | 09173B107 |  | 38,757,888 | 19,875,840 | SH |  | SOLE |  | 19,875,840 | 0 | 0",19875840,0,0
2026-05-18,Situational Awareness LP (Leopold Aschenbrenner),0002045724,0002045724-26-000008,https://www.sec.gov/Archives/edgar/data/2045724/000204572426000008/0002045724-26-000008-index.htm,BLOOM ENERGY CORP,COM CL A,093712107,,55347665,55347665,408500,408500,SH,Call,SOLE,,,"BLOOM ENERGY CORP | COM CL A | 093712107 |  | 55,347,665 | 408,500 | SH | Call | SOLE |  | 0 | 0 | 0",0,0,0
2026-05-18,Situational Awareness LP (Leopold Aschenbrenner),0002045724,0002045724-26-000008,https://www.sec.gov/Archives/edgar/data/2045724/000204572426000008/0002045724-26-000008-index.htm,BLOOM ENERGY CORP,COM CL A,093712107,,878707930,878707930,6485408,6485408,SH,,SOLE,,,"BLOOM ENERGY CORP | COM CL A | 093712107 |  | 878,707,930 | 6,485,408 | SH |  | SOLE |  | 6,485,408 | 0 | 0",6485408,0,0
2026-05-18,Situational Awareness LP (Leopold Aschenbrenner),0002045724,0002045724-26-000008,https://www.sec.gov/Archives/edgar/data/2045724/000204572426000008/0002045724-26-000008-index.htm,BROADCOM INC,COM,11135F101,,1006247961,1006247961,3251100,3251100,SH,Put,SOLE,,,"BROADCOM INC | COM | 11135F101 |  | 1,006,247,961 | 3,251,100 | SH | Put | SOLE |  | 0 | 0 | 3,251,100",0,0,3251100
