Filing Date,Fund Name,Fund CIK,Accession Number,Filing URL,Name of Issuer,Title of Class,CUSIP,FIGI,Value Raw ($000s),Value ($000s),Shares/Principal Amount Raw,Shares/Principal Amount,SH/PRN,Put/Call,Investment Discretion,Other Manager,Other Managers (raw),All Columns (raw),Voting Authority - Sole,Voting Authority - Shared,Voting Authority - None
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,ALPHABET INC,CAP STK CL C,02079K107,,,,1069588,1069588,SH,,SOLE,,,"(to the nearest dollar): 196,184; ",1069588,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,CAPRI HOLDINGS LIMITED,SHS,G1890L107,,,,1000000,1000000,SH,,SOLE,,,"(to the nearest dollar): 33,080; ",1000000,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,CLARIVATE PLC,ORD SHS,G21810109,,,,38929635,38929635,SH,,SOLE,,,"(to the nearest dollar): 221,510; ",38929635,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,CRH PLC,ORD,G25508105,,,,4226602,4226602,SH,,SOLE,,,"(to the nearest dollar): 316,911; ",4226602,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,EAGLE MATLS INC,COM,26969P108,,,,342102,342102,SH,,SOLE,,,"(to the nearest dollar): 74,394; ",342102,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,FIDELITY NATL INFORMATION SV,COM,31620M106,,,,3509254,3509254,SH,,SOLE,,,"(to the nearest dollar): 264,457; ",3509254,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,FORTREA HLDGS INC,COMMON STOCK,34965K107,,,,3140360,3140360,SH,,SOLE,,,"(to the nearest dollar): 73,296; ",3140360,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,GDS HLDGS LTD,SPONSORED ADS,36165L108,,,,4249952,4249952,SH,,SOLE,,,"(to the nearest dollar): 39,482; ",4249952,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,HERBALIFE LTD,COM SHS,G4412G101,,,,5124526,5124526,SH,,SOLE,,,"(to the nearest dollar): 53,244; ",5124526,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,HUMANA INC,COM,444859102,,,,420000,420000,SH,,SOLE,,,"(to the nearest dollar): 156,933; ",420000,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,JACOBS SOLUTIONS INC,COM,46982L108,,,,494218,494218,SH,,SOLE,,,"(to the nearest dollar): 69,047; ",494218,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,JAZZ PHARMACEUTICALS PLC,SHS USD,G50871105,,,,1274248,1274248,SH,,SOLE,,,"(to the nearest dollar): 136,000; ",1274248,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,LIBERTY GLOBAL LTD,COM CL A,G61188101,,,,7194276,7194276,SH,,SOLE,,,"(to the nearest dollar): 125,396; ",7194276,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,LIBERTY GLOBAL LTD,COM CL C,G61188127,,,,42311011,42311011,SH,,SOLE,,,"(to the nearest dollar): 755,252; ",42311011,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,LIBERTY MEDIA CORP DEL,COM LBTY SRM S A,531229813,,,,600194,600194,SH,,SOLE,,,"(to the nearest dollar): 13,294; ",600194,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,LIBERTY MEDIA CORP DEL,COM LBTY SRM S C,531229789,,,,1058616,1058616,SH,,SOLE,,,"(to the nearest dollar): 23,459; ",1058616,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,OUTBRAIN INC,NOTE 2.950% 7/2,69002RAB9,,,,118000000,118000000,PRN,,SOLE,,,"(to the nearest dollar): 103,267; ",118000000,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,SOLVENTUM CORP,COM SHS,83444M101,,,,1820000,1820000,SH,,SOLE,,,"(to the nearest dollar): 96,242; ",1820000,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,THERAVANCE BIOPHARMA INC,COM,G8807B106,,,,4200021,4200021,SH,,SOLE,,,"(to the nearest dollar): 35,616; ",4200021,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,VERISIGN INC,COM,92343E102,,,,105764,105764,SH,,SOLE,,,"(to the nearest dollar): 18,805; ",105764,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,VIASAT INC,COM,92552V100,,,,13759364,13759364,SH,,SOLE,,,"(to the nearest dollar): 174,744; ",13759364,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,WESCO INTL INC,COM,95082P105,,,,803000,803000,SH,,SOLE,,,"(to the nearest dollar): 127,292; ",803000,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,WILLIS TOWERS WATSON PLC LTD,SHS,G96629103,,,,1652648,1652648,SH,,SOLE,,,"(to the nearest dollar): 433,225; ",1652648,0,0
2024-08-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000363,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000363/0001567619-24-000363-index.htm,WILLSCOT MOBIL MINI HLDNG CO,COM CL A,971378104,,,,2470000,2470000,SH,,SOLE,,,"(to the nearest dollar): 92,971; ",2470000,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,ALPHABET INC,CAP STK CL C,02079K107,,,,2957652,2957652,SH,,SOLE,,,"(to the nearest dollar): 450,332; ",2957652,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,ALTICE USA INC,CL A,02156K103,,,,4774615,4774615,SH,,SOLE,,,"(to the nearest dollar): 12,462; ",4774615,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,CLARIVATE PLC,ORD SHS,G21810109,,,,30598402,30598402,SH,,SOLE,,,"(to the nearest dollar): 227,346; ",30598402,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,CRH PLC,ORD,G25508105,,,,2709543,2709543,SH,,SOLE,,,"(to the nearest dollar): 233,725; ",2709543,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,EAGLE MATLS INC,COM,26969P108,,,,262000,262000,SH,,SOLE,,,"(to the nearest dollar): 71,199; ",262000,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,FIDELITY NATL INFORMATION SV,COM,31620M106,,,,5578969,5578969,SH,,SOLE,,,"(to the nearest dollar): 413,848; ",5578969,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,FORTREA HLDGS INC,COMMON STOCK,34965K107,,,,303797,303797,SH,,SOLE,,,"(to the nearest dollar): 12,194; ",303797,0,0
2024-05-14,Baupost Group (Seth Klarman),1061768,0001567619-24-000317,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000317/0001567619-24-000317-index.htm,GDS HLDGS LTD,SPONSORED ADS,36165L108,,,,2600000,2600000,SH,,SOLE,,,"(to the nearest dollar): 17,290; ",2600000,0,0
