Fund Name,Fund CIK,Filing Date,Accession Number,Name of Issuer,Title of Class,CUSIP,Value ($000s),Shares/Principal Amount,Put/Call
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,ALPHABET INC,CAP STK CL C,02079K107,,1069588,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,CAPRI HOLDINGS LIMITED,SHS,G1890L107,,1000000,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,CLARIVATE PLC,ORD SHS,G21810109,,38929635,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,CRH PLC,ORD,G25508105,,4226602,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,EAGLE MATLS INC,COM,26969P108,,342102,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,FIDELITY NATL INFORMATION SV,COM,31620M106,,3509254,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,FORTREA HLDGS INC,COMMON STOCK,34965K107,,3140360,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,GDS HLDGS LTD,SPONSORED ADS,36165L108,,4249952,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,HERBALIFE LTD,COM SHS,G4412G101,,5124526,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,HUMANA INC,COM,444859102,,420000,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,JACOBS SOLUTIONS INC,COM,46982L108,,494218,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,JAZZ PHARMACEUTICALS PLC,SHS USD,G50871105,,1274248,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,LIBERTY GLOBAL LTD,COM CL A,G61188101,,7194276,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,LIBERTY GLOBAL LTD,COM CL C,G61188127,,42311011,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,LIBERTY MEDIA CORP DEL,COM LBTY SRM S A,531229813,,600194,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,LIBERTY MEDIA CORP DEL,COM LBTY SRM S C,531229789,,1058616,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,OUTBRAIN INC,NOTE 2.950% 7/2,69002RAB9,,118000000,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,SOLVENTUM CORP,COM SHS,83444M101,,1820000,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,THERAVANCE BIOPHARMA INC,COM,G8807B106,,4200021,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,VERISIGN INC,COM,92343E102,,105764,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,VIASAT INC,COM,92552V100,,13759364,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,WESCO INTL INC,COM,95082P105,,803000,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,WILLIS TOWERS WATSON PLC LTD,SHS,G96629103,,1652648,
Baupost Group (Seth Klarman),1061768,2024-08-13,0001567619-24-000363,WILLSCOT MOBIL MINI HLDNG CO,COM CL A,971378104,,2470000,
